,timestamp,humidity,co2,temperature,sensor_r,sensor_l,thermal,day_of_week,day,month
62,2018-10-13T15:30:00.000000Z,,,,0,0,41.199999999999996,5,13,10
63,2018-10-13T15:45:00.000000Z,,,,0,0,86.1000000000001,5,13,10
64,2018-10-13T16:00:00.000000Z,,,,0,0,-52.5000000000001,5,13,10
65,2018-10-13T16:15:00.000000Z,,,,0,0,-23.499999999999954,5,13,10
66,2018-10-13T16:30:00.000000Z,,,,0,0,-29.100000000000048,5,13,10
67,2018-10-13T16:45:00.000000Z,,,,0,0,3.3000000000000114,5,13,10
68,2018-10-13T17:00:00.000000Z,,,,0,0,-17.699999999999957,5,13,10
69,2018-10-13T17:15:00.000000Z,,,,0,0,9.300000000000033,5,13,10
70,2018-10-13T17:30:00.000000Z,,,,0,0,-78.70000000000003,5,13,10
71,2018-10-13T17:45:00.000000Z,51.2171,425,20.4889,0,0,-100.60000000000012,5,13,10
72,2018-10-13T18:00:00.000000Z,,,,0,0,-41.200000000000045,5,13,10
73,2018-10-13T18:15:00.000000Z,,,,0,0,29.49999999999997,5,13,10
74,2018-10-13T18:30:00.000000Z,,,,0,0,-27.800000000000004,5,13,10
75,2018-10-13T18:45:00.000000Z,,,,0,0,-89.29999999999998,5,13,10
76,2018-10-13T19:00:00.000000Z,,,,0,0,-11.599999999999977,5,13,10
77,2018-10-13T19:15:00.000000Z,51.2136,448,20.4894,0,0,42.40000000000011,5,13,10
78,2018-10-13T19:30:00.000000Z,51.2128,457,20.4892,0,0,-76.19999999999995,5,13,10
79,2018-10-13T19:45:00.000000Z,,,,0,0,74.59999999999988,5,13,10
80,2018-10-13T20:00:00.000000Z,,,,0,0,4.39999999999997,5,13,10
81,2018-10-13T20:15:00.000000Z,,,,0,0,-4.599999999999955,5,13,10
82,2018-10-13T20:30:00.000000Z,,,,0,0,23.999999999999993,5,13,10
83,2018-10-13T20:45:00.000000Z,,,,0,0,-50.90000000000004,5,13,10
84,2018-10-13T21:00:00.000000Z,51.2111,481,20.4892,0,0,-58.70000000000002,5,13,10
85,2018-10-13T21:15:00.000000Z,,,,0,0,-30.799999999999887,5,13,10
86,2018-10-13T21:30:00.000000Z,51.2098,490,20.4891,0,0,-52.59999999999994,5,13,10
87,2018-10-13T21:45:00.000000Z,51.2097,492,20.4892,0,0,-25.80000000000004,5,13,10
88,2018-10-13T22:00:00.000000Z,51.2097,497,20.489,0,0,26.599999999999987,5,13,10
89,2018-10-13T22:15:00.000000Z,51.2094,497,20.4891,0,0,-82.09999999999985,5,13,10
90,2018-10-13T22:30:00.000000Z,51.2085,497,20.489,0,0,-33.8,5,13,10
91,2018-10-13T22:45:00.000000Z,51.2094,493,20.4888,0,0,-113.2000000000001,5,13,10
92,2018-10-13T23:00:00.000000Z,51.2081,495,20.4888,0,0,113.90000000000009,5,13,10
93,2018-10-13T23:15:00.000000Z,51.2091,497,20.4887,0,0,4.799999999999972,5,13,10
94,2018-10-13T23:30:00.000000Z,51.2084,494,20.4887,0,0,35.70000000000006,5,13,10
95,2018-10-13T23:45:00.000000Z,51.2065,500,20.4888,0,0,-36.50000000000007,5,13,10
96,2018-10-14T00:00:00.000000Z,51.2052,498,20.4889,0,0,-1.1000000000000156,6,14,10
97,2018-10-14T00:15:00.000000Z,,,,0,0,10.399999999999988,6,14,10
98,2018-10-14T00:30:00.000000Z,51.205,487,20.4885,0,0,-54.39999999999999,6,14,10
99,2018-10-14T00:45:00.000000Z,51.2043,491,20.4884,0,0,-48.40000000000008,6,14,10
100,2018-10-14T01:00:00.000000Z,51.2056,491,20.4879,0,0,34.40000000000006,6,14,10
101,2018-10-14T01:15:00.000000Z,51.2049,491,20.4877,0,0,53.200000000000045,6,14,10
102,2018-10-14T01:30:00.000000Z,51.2051,488,20.4878,0,0,-19.59999999999997,6,14,10
103,2018-10-14T01:45:00.000000Z,51.205,485,20.4874,0,0,-13.000000000000036,6,14,10
104,2018-10-14T02:00:00.000000Z,51.2045,482,20.4874,0,0,-84.79999999999995,6,14,10
