;timestamp;sensor_r;sensor_l
146;2018-10-13 12:30:00;0;0
147;2018-10-13 12:45:00;0;0
148;2018-10-13 13:00:00;0;0
149;2018-10-13 13:15:00;0;0
150;2018-10-13 13:30:00;0;0
151;2018-10-13 13:45:00;0;0
152;2018-10-13 14:00:00;0;0
153;2018-10-13 14:15:00;0;0
154;2018-10-13 14:30:00;0;0
155;2018-10-13 14:45:00;0;0
156;2018-10-13 15:00:00;0;0
157;2018-10-13 15:15:00;0;0
158;2018-10-13 15:30:00;0;0
159;2018-10-13 15:45:00;0;0
160;2018-10-13 16:00:00;0;0
161;2018-10-13 16:15:00;0;0
162;2018-10-13 16:30:00;0;0
163;2018-10-13 16:45:00;0;0
164;2018-10-13 17:00:00;0;0
165;2018-10-13 17:15:00;0;0
166;2018-10-13 17:30:00;0;0
167;2018-10-13 17:45:00;0;0
168;2018-10-13 18:00:00;0;0
169;2018-10-13 18:15:00;0;0
170;2018-10-13 18:30:00;0;0
171;2018-10-13 18:45:00;0;0
172;2018-10-13 19:00:00;0;0
173;2018-10-13 19:15:00;0;0
174;2018-10-13 19:30:00;0;0
175;2018-10-13 19:45:00;0;0
176;2018-10-13 20:00:00;0;0
177;2018-10-13 20:15:00;0;0
178;2018-10-13 20:30:00;0;0
179;2018-10-13 20:45:00;0;0
180;2018-10-13 21:00:00;0;0
181;2018-10-13 21:15:00;0;0
182;2018-10-13 21:30:00;0;0
183;2018-10-13 21:45:00;0;0
184;2018-10-13 22:00:00;0;0
185;2018-10-13 22:15:00;0;0
186;2018-10-13 22:30:00;0;0
187;2018-10-13 22:45:00;0;0
188;2018-10-13 23:00:00;0;0
189;2018-10-13 23:15:00;0;0
190;2018-10-13 23:30:00;0;0
191;2018-10-13 23:45:00;0;0
192;2018-10-14 00:00:00;0;0
193;2018-10-14 00:15:00;0;0
194;2018-10-14 00:30:00;0;0
195;2018-10-14 00:45:00;0;0
196;2018-10-14 01:00:00;0;0
197;2018-10-14 01:15:00;0;0
198;2018-10-14 01:30:00;0;0
199;2018-10-14 01:45:00;0;0
200;2018-10-14 02:00:00;0;0
201;2018-10-14 02:15:00;0;0
202;2018-10-14 02:30:00;0;0
203;2018-10-14 02:45:00;0;0
204;2018-10-14 03:00:00;0;0
205;2018-10-14 03:15:00;0;0
206;2018-10-14 03:30:00;0;0
207;2018-10-14 03:45:00;0;0
208;2018-10-14 04:00:00;0;0
209;2018-10-14 04:15:00;0;0
210;2018-10-14 04:30:00;0;0
211;2018-10-14 04:45:00;0;0
212;2018-10-14 05:00:00;0;0
213;2018-10-14 05:15:00;0;0
214;2018-10-14 05:30:00;0;0
215;2018-10-14 05:45:00;0;0
216;2018-10-14 06:00:00;0;0
217;2018-10-14 06:15:00;0;0
218;2018-10-14 06:30:00;0;0
219;2018-10-14 06:45:00;0;0
220;2018-10-14 07:00:00;0;0
221;2018-10-14 07:15:00;0;0
222;2018-10-14 07:30:00;0;0
223;2018-10-14 07:45:00;0;0
224;2018-10-14 08:00:00;0;0
225;2018-10-14 08:15:00;0;0
226;2018-10-14 08:30:00;0;0
227;2018-10-14 08:45:00;0;0
228;2018-10-14 09:00:00;0;0
229;2018-10-14 09:15:00;0;0
230;2018-10-14 09:30:00;0;0
231;2018-10-14 09:45:00;0;0
232;2018-10-14 10:00:00;0;0
233;2018-10-14 10:15:00;0;0
234;2018-10-14 10:30:00;0;0
235;2018-10-14 10:45:00;0;0
236;2018-10-14 11:00:00;0;0
237;2018-10-14 11:15:00;0;0
238;2018-10-14 11:30:00;0;0
239;2018-10-14 11:45:00;0;0
240;2018-10-14 12:00:00;0;0
241;2018-10-14 12:15:00;0;0
242;2018-10-14 12:30:00;0;0
243;2018-10-14 12:45:00;2;0
244;2018-10-14 13:00:00;0;0
245;2018-10-14 13:15:00;0;0
246;2018-10-14 13:30:00;0;0
247;2018-10-14 13:45:00;0;0
248;2018-10-14 14:00:00;0;0
249;2018-10-14 14:15:00;0;0
250;2018-10-14 14:30:00;0;0
251;2018-10-14 14:45:00;0;0
252;2018-10-14 15:00:00;0;0
253;2018-10-14 15:15:00;0;0
254;2018-10-14 15:30:00;0;0
255;2018-10-14 15:45:00;0;0
256;2018-10-14 16:00:00;0;0
257;2018-10-14 16:15:00;0;0
258;2018-10-14 16:30:00;0;0
259;2018-10-14 16:45:00;0;0
260;2018-10-14 17:00:00;0;0
261;2018-10-14 17:15:00;0;0
262;2018-10-14 17:30:00;0;0
263;2018-10-14 17:45:00;0;0
264;2018-10-14 18:00:00;0;0
